dt,WR_x,WR_y,U_dN
5.38,7.77281,7.77281,7.77964
5.39,7.75913,7.75913,7.76597
5.4,7.74544,7.74544,7.75229
5.41,7.73174,7.73174,7.73859
5.42,7.71803,7.71803,7.72489
5.43,7.70431,7.70431,7.71117
5.44,7.69058,7.69058,7.69745
5.45,7.67683,7.67683,7.68371
5.46,7.66308,7.66308,7.66996
5.47,7.64931,7.64931,7.6562
5.48,7.63554,7.63554,7.64242
5.49,7.62175,7.62175,7.62864
5.5,7.60795,7.60795,7.61485
5.51,7.59414,7.59414,7.60104
5.52,7.58032,7.58032,7.58723
5.53,7.56649,7.56649,7.5734
5.54,7.55265,7.55265,7.55957
5.55,7.5388,7.5388,7.54572
5.56,7.52493,7.52493,7.53187
5.57,7.51106,7.51106,7.518
5.58,7.49718,7.49718,7.50412
5.59,7.48329,7.48329,7.49023
5.6,7.46939,7.46939,7.47634
5.61,7.45547,7.45547,7.46243
5.62,7.44155,7.44155,7.44851
5.63,7.42762,7.42762,7.43458
5.64,7.41368,7.41368,7.42065
5.65,7.39972,7.39972,7.4067
5.66,7.38576,7.38576,7.39274
5.67,7.37179,7.37179,7.37878
5.68,7.35781,7.35781,7.3648
5.69,7.34382,7.34382,7.35081
5.7,7.32982,7.32982,7.33682
5.71,7.31581,7.31581,7.32281
5.72,7.30179,7.30179,7.3088
5.73,7.28776,7.28776,7.29478
5.74,7.27372,7.27372,7.28074
5.75,7.25968,7.25968,7.2667
5.76,7.24562,7.24562,7.25265
5.77,7.23156,7.23156,7.23859
5.78,7.21748,7.21748,7.22452
5.79,7.2034,7.2034,7.21044
5.8,7.18931,7.18931,7.19636
5.81,7.17521,7.17521,7.18226
5.82,7.1611,7.1611,7.16816
5.83,7.14698,7.14698,7.15404
5.84,7.13286,7.13286,7.13992
5.85,7.11872,7.11872,7.12579
5.86,7.10458,7.10458,7.11165
5.87,7.09043,7.09043,7.09751
5.88,7.07627,7.07627,7.08335
5.89,7.0621,7.0621,7.06919
5.9,7.04793,7.04793,7.05502
5.91,7.03374,7.03374,7.04084
5.92,7.01955,7.01955,7.02665
5.93,7.00535,7.00535,7.01245
5.94,6.99115,6.99115,6.99825
5.95,6.97693,6.97693,6.98404
5.96,6.96271,6.96271,6.96982
5.97,6.94848,6.94848,6.95559
5.98,6.93424,6.93424,6.94136
5.99,6.91999,6.91999,6.92711
6.0,6.90574,6.90574,6.91286
6.01,6.89148,6.89148,6.89861
6.02,6.87721,6.87721,6.88434
6.03,6.86293,6.86293,6.87007
6.04,6.84865,6.84865,6.85579
6.05,6.83436,6.83436,6.8415
6.06,6.82006,6.82006,6.82721
6.07,6.80575,6.80575,6.81291
6.08,6.79144,6.79144,6.7986
6.09,6.77712,6.77712,6.78428
6.1,6.7628,6.7628,6.76996
6.11,6.74847,6.74847,6.75563
6.12,6.73413,6.73413,6.7413
6.13,6.71978,6.71978,6.72695
6.14,6.70543,6.70543,6.7126
6.15,6.69107,6.69107,6.69825
6.16,6.6767,6.6767,6.68389
6.17,6.66233,6.66233,6.66952
6.18,6.64795,6.64795,6.65514
6.19,6.63357,6.63357,6.64076
6.2,6.61918,6.61918,6.62637
6.21,6.60478,6.60478,6.61198
6.22,6.59038,6.59038,6.59758
6.23,6.57597,6.57597,6.58317
6.24,6.56155,6.56155,6.56876
6.25,6.54713,6.54713,6.55434
6.26,6.5327,6.5327,6.53992
6.27,6.51827,6.51827,6.52549
6.28,6.50383,6.50383,6.51105
6.29,6.48939,6.48939,6.49661
6.3,6.47494,6.47494,6.48216
6.31,6.46048,6.46048,6.46771
6.32,6.44602,6.44602,6.45325
6.33,6.43156,6.43156,6.43879
6.34,6.41708,6.41708,6.42432
6.35,6.40261,6.40261,6.40985
6.36,6.38812,6.38812,6.39537
6.37,6.37364,6.37364,6.38088
6.38,6.35914,6.35914,6.36639
6.39,6.34465,6.34465,6.3519
6.4,6.33014,6.33014,6.3374
6.41,6.31564,6.31564,6.32289
6.42,6.30112,6.30112,6.30838
6.43,6.28661,6.28661,6.29387
6.44,6.27208,6.27208,6.27935
6.45,6.25756,6.25756,6.26482
6.46,6.24303,6.24303,6.25029
6.47,6.22849,6.22849,6.23576
6.48,6.21395,6.21395,6.22122
6.49,6.19941,6.19941,6.20668
6.5,6.18486,6.18486,6.19213
6.51,6.1703,6.1703,6.17758
6.52,6.15575,6.15575,6.16303
6.53,6.14118,6.14118,6.14847
6.54,6.12662,6.12662,6.1339
6.55,6.11205,6.11205,6.11933
6.56,6.09748,6.09748,6.10476
6.57,6.0829,6.0829,6.09019
6.58,6.06832,6.06832,6.07561
6.59,6.05373,6.05373,6.06102
6.6,6.03914,6.03914,6.04644
6.61,6.02455,6.02455,6.03184
6.62,6.00995,6.00995,6.01725
6.63,5.99535,5.99535,6.00265
6.64,5.98075,5.98075,5.98805
6.65,5.96614,5.96614,5.97345
6.66,5.95153,5.95153,5.95884
6.67,5.93692,5.93692,5.94422
6.68,5.9223,5.9223,5.92961
6.69,5.90768,5.90768,5.91499
6.7,5.89306,5.89306,5.90037
6.71,5.87843,5.87843,5.88574
6.72,5.8638,5.8638,5.87112
6.73,5.84917,5.84917,5.85649
6.74,5.83453,5.83453,5.84185
6.75,5.8199,5.8199,5.82722
6.76,5.80526,5.80526,5.81258
6.77,5.79061,5.79061,5.79793
6.78,5.77597,5.77597,5.78329
6.79,5.76132,5.76132,5.76864
6.8,5.74667,5.74667,5.75399
6.81,5.73201,5.73201,5.73934
6.82,5.71736,5.71736,5.72469
6.83,5.7027,5.7027,5.71003
6.84,5.68804,5.68804,5.69537
6.85,5.67338,5.67338,5.68071
6.86,5.65871,5.65871,5.66604
6.87,5.64405,5.64405,5.65138
6.88,5.62938,5.62938,5.63671
6.89,5.61471,5.61471,5.62204
6.9,5.60003,5.60003,5.60737
6.91,5.58536,5.58536,5.5927
6.92,5.57068,5.57068,5.57802
6.93,5.556,5.556,5.56334
6.94,5.54132,5.54132,5.54866
6.95,5.52664,5.52664,5.53398
6.96,5.51196,5.51196,5.5193
6.97,5.49727,5.49727,5.50462
6.98,5.48259,5.48259,5.48993
6.99,5.4679,5.4679,5.47525
7.0,5.45321,5.45321,5.46056
7.01,5.43852,5.43852,5.44587
7.02,5.42383,5.42383,5.43118
7.03,5.40914,5.40914,5.41649
7.04,5.39445,5.39445,5.40179
7.05,5.37975,5.37975,5.3871
7.06,5.36506,5.36506,5.3724
7.07,5.35036,5.35036,5.35771
7.08,5.33566,5.33566,5.34301
7.09,5.32097,5.32097,5.32832
7.1,5.30627,5.30627,5.31362
7.11,5.29157,5.29157,5.29892
7.12,5.27687,5.27687,5.28422
7.13,5.26217,5.26217,5.26952
7.14,5.24747,5.24747,5.25482
7.15,5.23277,5.23277,5.24012
7.16,5.21807,5.21807,5.22542
7.17,5.20336,5.20336,5.21071
7.18,5.18866,5.18866,5.19601
7.19,5.17396,5.17396,5.18131
7.2,5.15926,5.15926,5.16661
7.21,5.14455,5.14455,5.15191
7.22,5.12985,5.12985,5.1372
7.23,5.11515,5.11515,5.1225
7.24,5.10045,5.10045,5.1078
7.25,5.08575,5.08575,5.0931
7.26,5.07104,5.07104,5.07839
7.27,5.05634,5.05634,5.06369
7.28,5.04164,5.04164,5.04899
7.29,5.02694,5.02694,5.03429
7.3,5.01224,5.01224,5.01959
7.31,4.99754,4.99754,5.00489
7.32,4.98284,4.98284,4.99019
7.33,4.96814,4.96814,4.97549
7.34,4.95344,4.95344,4.96079
7.35,4.93874,4.93874,4.94609
7.36,4.92405,4.92405,4.9314
7.37,4.90935,4.90935,4.9167
